Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
06/01/2025 11:38:00,31/12/2024,"Demand Actual, LDZ (SC), D+6",13.34012,06/01/2025 12:00:00,
05/01/2025 11:38:00,30/12/2024,"Demand Actual, LDZ (SC), D+6",13.17984,05/01/2025 12:00:00,
04/01/2025 11:38:00,29/12/2024,"Demand Actual, LDZ (SC), D+6",12.59744,04/01/2025 12:00:00,
03/01/2025 11:38:00,28/12/2024,"Demand Actual, LDZ (SC), D+6",12.10814,03/01/2025 12:00:00,
02/01/2025 11:38:00,27/12/2024,"Demand Actual, LDZ (SC), D+6",12.15619,02/01/2025 12:00:00,
01/01/2025 11:38:00,31/12/2024,"Composite Weather Variable, Actual, LDZ(SC), D+1",5.6,01/01/2025 11:50:00,
01/01/2025 11:38:00,26/12/2024,"Demand Actual, LDZ (SC), D+6",10.99585,01/01/2025 12:00:00,
31/12/2024 11:38:00,30/12/2024,"Composite Weather Variable, Actual, LDZ(SC), D+1",5.82,31/12/2024 11:50:00,
31/12/2024 11:38:00,25/12/2024,"Demand Actual, LDZ (SC), D+6",10.52884,31/12/2024 12:00:00,
30/12/2024 11:38:00,29/12/2024,"Composite Weather Variable, Actual, LDZ(SC), D+1",6.18,30/12/2024 11:50:00,
30/12/2024 11:38:00,24/12/2024,"Demand Actual, LDZ (SC), D+6",12.02823,30/12/2024 12:00:00,
29/12/2024 11:38:00,28/12/2024,"Composite Weather Variable, Actual, LDZ(SC), D+1",6.01,29/12/2024 11:50:00,
29/12/2024 11:38:00,23/12/2024,"Demand Actual, LDZ (SC), D+6",15.95029,29/12/2024 12:00:00,
28/12/2024 11:38:00,27/12/2024,"Composite Weather Variable, Actual, LDZ(SC), D+1",6.27,28/12/2024 11:50:00,
28/12/2024 11:38:00,22/12/2024,"Demand Actual, LDZ (SC), D+6",16.7175,28/12/2024 12:00:00,
27/12/2024 11:38:00,26/12/2024,"Composite Weather Variable, Actual, LDZ(SC), D+1",6.54,27/12/2024 11:50:00,
27/12/2024 11:38:00,21/12/2024,"Demand Actual, LDZ (SC), D+6",15.4733,27/12/2024 12:00:00,
26/12/2024 11:38:00,25/12/2024,"Composite Weather Variable, Actual, LDZ(SC), D+1",6.63,26/12/2024 11:50:00,
26/12/2024 11:38:00,20/12/2024,"Demand Actual, LDZ (SC), D+6",15.81583,26/12/2024 12:00:00,
25/12/2024 11:38:00,24/12/2024,"Composite Weather Variable, Actual, LDZ(SC), D+1",6.42,25/12/2024 11:50:00,
25/12/2024 11:38:00,19/12/2024,"Demand Actual, LDZ (SC), D+6",16.99527,25/12/2024 12:00:00,
24/12/2024 11:38:00,23/12/2024,"Composite Weather Variable, Actual, LDZ(SC), D+1",4.3,24/12/2024 11:50:00,
24/12/2024 11:38:00,18/12/2024,"Demand Actual, LDZ (SC), D+6",13.55363,24/12/2024 12:00:00,
23/12/2024 11:38:00,22/12/2024,"Composite Weather Variable, Actual, LDZ(SC), D+1",2.71,23/12/2024 11:50:00,
23/12/2024 11:38:00,17/12/2024,"Demand Actual, LDZ (SC), D+6",13.42029,23/12/2024 12:00:00,
22/12/2024 11:38:00,21/12/2024,"Composite Weather Variable, Actual, LDZ(SC), D+1",3.430,02/01/2025 16:08:01,L
22/12/2024 11:38:00,16/12/2024,"Demand Actual, LDZ (SC), D+6",13.5053,22/12/2024 12:00:00,
21/12/2024 11:38:00,20/12/2024,"Composite Weather Variable, Actual, LDZ(SC), D+1",4.25,21/12/2024 11:50:00,
21/12/2024 11:38:00,15/12/2024,"Demand Actual, LDZ (SC), D+6",13.07292,21/12/2024 12:00:00,
20/12/2024 11:38:00,19/12/2024,"Composite Weather Variable, Actual, LDZ(SC), D+1",3.98,20/12/2024 11:50:00,
20/12/2024 11:38:00,14/12/2024,"Demand Actual, LDZ (SC), D+6",16.15849,20/12/2024 12:00:00,
19/12/2024 11:38:00,18/12/2024,"Composite Weather Variable, Actual, LDZ(SC), D+1",5.55,19/12/2024 11:50:00,
19/12/2024 11:38:00,13/12/2024,"Demand Actual, LDZ (SC), D+6",18.33467,19/12/2024 12:00:00,
18/12/2024 11:38:00,17/12/2024,"Composite Weather Variable, Actual, LDZ(SC), D+1",6.18,18/12/2024 11:50:00,
18/12/2024 11:38:00,12/12/2024,"Demand Actual, LDZ (SC), D+6",20.50254,18/12/2024 12:00:00,
17/12/2024 11:38:00,16/12/2024,"Composite Weather Variable, Actual, LDZ(SC), D+1",6.13,17/12/2024 11:50:00,
17/12/2024 11:38:00,11/12/2024,"Demand Actual, LDZ (SC), D+6",21.79119,17/12/2024 12:00:00,
16/12/2024 11:38:00,15/12/2024,"Composite Weather Variable, Actual, LDZ(SC), D+1",5.12,16/12/2024 11:50:00,
16/12/2024 11:38:00,10/12/2024,"Demand Actual, LDZ (SC), D+6",20.36116,16/12/2024 12:00:00,
15/12/2024 11:38:01,14/12/2024,"Composite Weather Variable, Actual, LDZ(SC), D+1",2.93,15/12/2024 11:50:00,
15/12/2024 11:38:01,09/12/2024,"Demand Actual, LDZ (SC), D+6",17.72185,15/12/2024 12:00:00,
14/12/2024 11:38:00,13/12/2024,"Composite Weather Variable, Actual, LDZ(SC), D+1",1.8,14/12/2024 11:50:00,
14/12/2024 11:38:00,08/12/2024,"Demand Actual, LDZ (SC), D+6",16.1187,14/12/2024 12:00:00,
